,Name,Status,Population Census 2000-05-01,Population Census 2010-05-01,Population Census 2015-08-01,Population Census 2020-05-01
105,Rosario,Municipality,86110,105561,116764,128352
252,Cavite,Province,2063161,3090691,3678301,4344829
253,Alfonso,Municipality,39674,48567,51839,59306
254,Amadeo,Municipality,25737,33457,37649,41901
255,Bacoor,City,305699,520216,600609,664625
256,Carmona,Municipality,47856,74986,97557,106256
257,Cavite,City,99367,101120,102806,100674
259,General Emilio Aguinaldo,Municipality,14323,17507,22220,23973
260,General Mariano Alvarez,Municipality,112446,138540,155143,172433
261,General Trias,City,107691,243322,314303,450583
262,Imus,City,195482,301624,403785,496794
263,Indang,Municipality,51281,62030,65599,68699
264,Kawit,Municipality,62751,78209,83466,107535
265,Magallanes,Municipality,18090,21231,22727,23851
266,Maragondon,Municipality,31227,35289,37720,40687
267,Mendez (Mendez-Nuñez),Municipality,22937,28570,31529,34879
268,Naic,Municipality,72683,88144,111454,160987
269,Noveleta,Municipality,31959,41678,45846,49452
270,Rosario,Municipality,73665,92253,110706,110807
271,Silang,Municipality,156137,213490,248085,295644
272,Tagaytay,City,45287,62030,71181,85330
273,Tanza,Municipality,110517,188755,226188,312116
274,Ternate,Municipality,17179,19297,23157,24653
275,Trece Martires,City,41653,104559,155713,210503
438,Rosario,Municipality,43497,52679,55458,60278
773,Magallanes,Municipality,31315,35443,37038,37411
