,Customer ID,Age,MonthlyUsage,Payment Method,Tenure in Months,Churn
0,4526-ZJJTM,72,354,Bank Withdrawal,20,0
1,5302-BDJNT,27,68,Bank Withdrawal,33,0
2,5468-BPMMO,59,319,Bank Withdrawal,34,0
3,2212-LYASK,25,138,Credit Card,30,0
4,0378-XSZPU,31,587,Credit Card,30,1
5,6023-YEBUP,32,259,Bank Withdrawal,32,1
6,7030-NJVDP,36,373,Bank Withdrawal,20,0
7,7549-MYGPK,48,420,Bank Withdrawal,31,1
8,2469-DTSGX,72,144,Bank Withdrawal,18,0
9,3090-LETTY,54,54,Bank Withdrawal,23,0
10,6486-LHTMA,67,176,Bank Withdrawal,16,0
11,9799-CAYJJ,79,128,Bank Withdrawal,20,0
12,7690-KPNCU,20,338,Credit Card,20,0
13,9576-ANLXO,30,267,Bank Withdrawal,21,1
14,1089-HDMKP,72,144,Bank Withdrawal,32,0
15,1092-GANHU,62,256,Bank Withdrawal,27,1
16,2931-VUVJN,71,391,Bank Withdrawal,35,0
17,2077-DDHJK,48,274,Credit Card,31,0
18,9114-DPSIA,22,61,Credit Card,33,0
19,3494-JCHRQ,38,517,Bank Withdrawal,33,1
20,2277-AXSDC,46,329,Bank Withdrawal,34,0
21,1928-BXYIV,47,333,Bank Withdrawal,34,0
22,7326-RIGQZ,48,127,Bank Withdrawal,35,0
23,8634-MPHTR,68,389,Bank Withdrawal,32,1
24,0064-SUDOG,48,59,Bank Withdrawal,18,0
25,6972-SNKKW,60,242,Mailed Check,26,0
26,3877-JRJIP,50,469,Bank Withdrawal,21,1
27,7409-KIUTL,80,599,Bank Withdrawal,24,1
28,3951-NJCVI,76,154,Bank Withdrawal,22,0
29,8285-ABVLB,34,294,Credit Card,29,0
30,0637-KVDLV,30,258,Bank Withdrawal,27,1
31,0260-ZDLGK,50,544,Credit Card,22,1
32,1548-ARAGG,28,319,Credit Card,23,0
33,1987-AUELQ,46,151,Credit Card,29,0
34,2684-EIWEO,69,554,Credit Card,39,1
35,1027-LKKQQ,35,225,Bank Withdrawal,17,0
36,3717-OEAUQ,37,166,Credit Card,16,0
37,7033-CLAMM,60,200,Bank Withdrawal,20,0
38,1143-NMNQJ,39,548,Bank Withdrawal,22,1
39,6839-ITVZJ,35,353,Bank Withdrawal,21,1
40,8082-GHXOP,20,336,Credit Card,17,0
41,3569-VLDHH,59,227,Bank Withdrawal,23,0
42,3061-BCKYI,27,375,Credit Card,22,0
43,6424-ELEYH,39,310,Credit Card,30,1
44,9018-PCIOK,63,384,Mailed Check,31,0
45,3256-EZDBI,71,234,Credit Card,27,0
46,3249-VHRIP,38,397,Credit Card,19,0
47,2921-XWDJH,76,95,Bank Withdrawal,22,0
48,5456-ITGIC,76,303,Credit Card,23,0
49,7971-HLVXI,62,207,Credit Card,15,0
50,3662-FXJFO,44,368,Credit Card,29,0
51,7779-LGOVN,74,430,Bank Withdrawal,34,1
52,2480-EJWYP,66,210,Bank Withdrawal,15,0
53,7544-ZVIKX,33,268,Bank Withdrawal,17,0
54,6257-RJOHI,58,171,Credit Card,22,0
55,2011-TRQYE,59,287,Credit Card,33,1
56,5789-LDFXO,60,109,Bank Withdrawal,25,0
57,6352-GIGGQ,19,238,Bank Withdrawal,20,0
58,6807-SIWJI,47,349,Bank Withdrawal,30,0
59,0426-TIRNE,54,267,Credit Card,39,1
60,4291-TPNFG,56,283,Bank Withdrawal,34,0
61,3746-EUBYR,63,270,Bank Withdrawal,36,1
62,9362-MWODR,63,76,Credit Card,32,0
63,7321-ZNSLA,58,380,Credit Card,34,0
64,0565-JUPYD,26,283,Credit Card,30,0
65,8336-TAVKX,68,152,Bank Withdrawal,15,0
66,3086-RUCRN,33,314,Bank Withdrawal,25,0
67,3745-HRPHI,49,50,Bank Withdrawal,31,0
68,9928-BZVLZ,58,264,Credit Card,21,0
69,0674-GCDXG,20,94,Bank Withdrawal,19,0
70,9027-TMATR,42,210,Bank Withdrawal,35,0
71,4910-AQFFX,30,582,Bank Withdrawal,29,1
72,3736-BLEPA,50,375,Bank Withdrawal,24,0
73,9220-CXRSC,56,60,Credit Card,22,0
74,2452-KDRRH,76,328,Credit Card,22,0
75,7471-WNSUF,23,253,Bank Withdrawal,29,0
76,9992-UJOEL,22,249,Credit Card,16,0
77,5204-QZXPU,50,363,Bank Withdrawal,31,1
78,9481-SFCQY,44,266,Credit Card,34,0
79,1247-QBVSH,41,184,Mailed Check,26,0
80,6478-HRRCZ,47,154,Credit Card,23,0
81,9838-BFCQT,61,97,Credit Card,29,0
82,7268-IGMFD,75,306,Bank Withdrawal,34,0
83,0750-EBAIU,43,264,Bank Withdrawal,18,0
84,0428-AXXLJ,29,344,Bank Withdrawal,28,0
85,5820-PTRYM,75,131,Credit Card,34,0
86,3234-VKACU,21,383,Bank Withdrawal,31,0
87,5309-TAIKL,42,149,Bank Withdrawal,22,0
88,6834-NXDCA,30,432,Bank Withdrawal,22,1
89,4622-YNKIJ,59,396,Bank Withdrawal,22,0
90,1169-SAOCL,45,369,Bank Withdrawal,19,0
91,9391-EOYLI,77,297,Bank Withdrawal,34,1
92,0330-BGYZE,48,260,Bank Withdrawal,17,0
93,5067-WJEUN,42,277,Bank Withdrawal,31,0
94,8329-UTMVM,76,364,Bank Withdrawal,33,0
95,9448-REEVD,21,372,Credit Card,20,1
96,3411-WLRSQ,80,72,Bank Withdrawal,27,0
97,5131-PONJI,62,177,Credit Card,15,0
98,3312-ZWLGF,69,103,Bank Withdrawal,25,0
99,4079-VTGLK,77,142,Bank Withdrawal,29,0
100,7858-GTZSP,33,212,Bank Withdrawal,27,0
101,2639-UGMAZ,73,68,Bank Withdrawal,34,0
102,2750-BJLSB,32,352,Bank Withdrawal,24,0
103,1732-FEKLD,30,259,Bank Withdrawal,24,0
104,4659-NZRUF,64,334,Bank Withdrawal,39,1
105,4013-GUXND,37,123,Credit Card,27,0
106,7668-XCFYV,77,291,Bank Withdrawal,24,0
107,8651-ENBZX,68,263,Bank Withdrawal,20,1
108,6981-TDRFT,25,380,Bank Withdrawal,24,0
109,7765-LWVVH,39,54,Bank Withdrawal,19,0
110,7696-CFTAT,24,176,Bank Withdrawal,15,0
