,Name,Status,Population Census 2000-05-01,Population Census 2010-05-01,Population Census 2015-08-01,Population Census 2020-05-01
0,Burol,Barangay,5937,9526,8260,11902
1,Burol I,Barangay,6425,14912,15751,17287
2,Burol II,Barangay,4299,4442,4838,6025
3,Burol III,Barangay,5663,8473,9077,10921
4,Datu Esmael (Bago-a-ingud),Barangay,16726,9079,13112,7969
5,Emmanuel Bergado I,Barangay,3982,6653,7386,8002
6,Emmanuel Bergado II,Barangay,2389,2714,2982,2796
7,Fatima I,Barangay,5542,5855,6291,6782
8,Fatima II,Barangay,3617,3864,4023,4305
9,Fatima III,Barangay,2638,3658,3712,3684
10,H-2,Barangay,...,9182,9477,9306
11,Langkaan I,Barangay,6981,13629,21426,26939
12,Langkaan II,Barangay,13861,25350,30197,33651
13,Luzviminda I,Barangay,2565,3080,3285,3565
14,Luzviminda II,Barangay,3900,4346,4688,4868
15,Paliparan I,Barangay,2450,5971,7153,10125
16,Paliparan II,Barangay,8668,15233,17881,20804
17,Paliparan III,Barangay,41511,59838,68224,72945
18,Sabang,Barangay,7421,13332,14680,17329
19,Saint Peter I,Barangay,1991,2347,2553,2287
20,Saint Peter II,Barangay,2091,2238,2462,2471
21,Salawag,Barangay,28994,61441,80136,78778
22,Salitran I,Barangay,3381,3694,5626,5158
23,Salitran II,Barangay,6070,9524,11371,12337
24,Salitran III,Barangay,10310,14681,14949,15396
25,Salitran IV,Barangay,4165,5984,8643,11819
26,Sampaloc I,Barangay,4181,5539,6612,7662
27,Sampaloc II,Barangay,6544,10170,14127,18225
28,Sampaloc III,Barangay,2710,8035,10469,13807
29,Sampaloc IV,Barangay,7085,35655,39950,41678
30,Sampaloc V,Barangay,3433,3146,3224,3252
31,San Agustin I,Barangay,7671,9523,8471,11971
32,San Agustin II,Barangay,4566,9271,10514,11692
33,San Agustin III,Barangay,6961,10046,10204,10178
34,San Andres I,Barangay,2889,3132,3173,4259
35,San Andres II,Barangay,2869,3294,3455,3405
36,San Antonio De Padua I,Barangay,2695,3052,3110,3407
37,San Antonio De Padua II,Barangay,2634,2880,3091,3062
38,San Dionisio (Barangay 1),Barangay,5526,6342,6980,6741
39,San Esteban (Barangay 4),Barangay,5232,4300,4219,4583
40,San Francisco I,Barangay,2685,2732,3030,3099
41,San Francisco II,Barangay,2772,3288,3495,3363
42,San Isidro Labrador I,Barangay,4385,4278,5237,4834
43,San Isidro Labrador II,Barangay,1888,2090,2194,2463
44,San Jose,Barangay,6670,10702,8955,11925
45,San Juan (San Juan I),Barangay,3212,3521,3612,3667
46,San Lorenzo Ruiz I,Barangay,3012,3059,3190,3311
47,San Lorenzo Ruiz II,Barangay,2951,3657,4109,4275
48,San Luis I,Barangay,3190,3417,3921,3963
49,San Luis II,Barangay,3439,4042,4524,4336
50,San Manuel I,Barangay,2690,2580,2703,2822
51,San Manuel II,Barangay,2632,2742,3037,2581
52,San Mateo,Barangay,4275,4512,4877,4950
53,San Miguel,Barangay,3692,3661,4240,4118
54,San Miguel II,Barangay,1909,2186,2390,2272
55,San Nicolas I,Barangay,1170,1937,2005,2071
56,San Nicolas II,Barangay,2770,4595,4851,4576
57,San Roque (Sta. Cristina II),Barangay,2378,2623,2949,2855
58,San Simon (Barangay 7),Barangay,13598,7095,6909,6242
59,Santa Cristina I,Barangay,2752,3237,3219,3307
60,Santa Cristina II,Barangay,2861,3490,3782,3505
61,Santa Cruz I,Barangay,3844,4664,4864,5112
62,Santa Cruz II,Barangay,1981,2222,2323,2138
63,Santa Fe,Barangay,4028,6263,6750,6314
64,Santa Lucia (San Juan II),Barangay,4117,5762,6754,5534
65,Santa Maria (Barangay 20),Barangay,4197,4785,5135,5068
66,Santo Cristo (Barangay 3),Barangay,4179,4380,4635,4551
67,Santo Niño I,Barangay,2325,2693,2847,2859
68,Santo Niño II,Barangay,2169,2566,2736,2737
69,Victoria Reyes,Barangay,...,14631,14248,13838
70,Zone I,Barangay,3143,3405,3756,4219
71,Zone I-B,Barangay,3468,4314,6263,5595
72,Zone II,Barangay,853,1104,1258,1677
73,Zone III,Barangay,1348,3206,5168,3821
74,Zone IV,Barangay,2364,2947,3271,3770
75,Dasmariñas,City,379520,575817,659019,703141
